,0,1,2,3,4,5,6
20220103,1362563,154868,66886,77546,192930,1150879,205592
20220104,1342778,135697,73066,77726,182876,1193309,205812
20220105,1331145,112010,85231,69522,165967,1240533,206856
20220106,1326471,108795,82104,55792,119929,1311531,206642
20220107,1318969,109033,89779,60866,104226,1321964,206427
20220110,1342182,86070,82212,78175,105990,1295601,221034
20220111,1327996,123834,73670,61940,111641,1292623,219560
20220112,1344631,152946,92318,51774,89663,1261698,218234
20220113,1413270,119755,75032,45502,69070,1318613,170022
20220114,1176071,262222,192051,48159,72338,1237608,222815
20220117,1302385,139679,140003,78766,117279,1209930,223222
20220118,1343801,107184,139365,74643,99185,1222214,224872
20220119,1349465,132337,79371,103455,113631,1211888,221117
20220120,1338071,148869,97016,95810,93925,1216909,220664
20220121,1292371,145327,90168,121323,102745,1236047,223283
20220124,1383949,217082,146885,52626,136164,1054502,220056
20220125,1398639,211164,165576,81401,138985,1000368,215131
20220126,1403306,214353,208411,76879,114586,978211,215518
20220127,1412344,179373,208991,85087,131166,976560,217743
20220128,1347971,184590,177960,112901,176713,1038652,172477
20220131,1355464,128208,117176,96481,163464,1155133,195338
20220201,1374099,111023,120818,92513,140023,1176117,196671
20220202,1407822,94974,92835,49955,164530,1185617,215531
20220203,1359841,119669,80890,75606,132933,1221150,221175
20220204,1357008,123693,69400,81836,118638,1239065,221624
20220207,1405573,157804,142583,9702,72984,1208757,213861
20220208,1438876,132251,108012,53584,95100,1155730,227711
20220209,1430353,173475,69731,56450,117750,1179913,183592
20220210,1448917,161825,116914,58858,121767,1082257,220726
20220211,1446265,164062,126163,72007,126066,1057824,218877
20220214,1359906,207180,112944,99128,100209,1112268,219629
20220215,1342895,185722,99709,77617,106238,1207105,191978
20220216,1301661,199345,113374,104745,143845,1127871,220423
20220217,1238756,221542,148271,64989,204519,1110598,222589
20220218,1240617,219601,125932,116638,181631,1104861,221984
20220221,1229295,187041,72268,70522,151555,1276660,223923
20220222,1217351,158474,84522,74202,164832,1281829,230054
20220223,1223453,147206,109009,62710,165927,1270738,232221
20220224,1224829,127792,142277,73821,123496,1279408,239641
20220225,1239491,125610,128784,81201,143015,1252723,240440
20220228,1278783,99083,119548,84349,249711,1136245,243545
20220301,1277553,94530,148355,68654,195516,1178713,247943
20220302,1287554,96766,128898,70671,203296,1177284,246795
20220303,1249705,145914,91990,88297,168584,1225480,241294
20220304,1253789,129786,86626,84045,170988,1244357,241673
20220307,1272245,176963,60440,56892,105250,1305202,234272
20220308,1295161,168394,91512,56393,87604,1271355,240845
20220309,1298307,175878,64730,65119,81962,1284992,240276
20220310,1322300,178156,117622,47169,68324,1238175,239518
20220311,1311779,212282,118368,83561,104095,1146027,235152
20220314,1433697,111231,141979,85303,81774,1125724,231556
20220315,1410843,137507,124951,90865,96447,1110973,239678
20220316,1407341,190456,167248,50216,83563,1075601,236839
20220317,1402503,185739,169737,85319,64629,1068238,235099
20220318,1465377,202464,167916,72929,54091,1016322,232165
20220321,1396530,195058,146532,80442,159151,1004336,229215
20220322,1389454,205119,169301,75225,139982,1003640,228543
20220323,1346345,213711,134026,78651,199425,1014467,224639
20220324,1325429,193166,120832,84555,154352,1109176,223754
20220325,1266392,183109,99105,99817,156532,1184350,221959
20220328,1211601,179873,112193,85682,218164,1183703,220048
20220329,1163290,170749,154242,102971,197208,1203487,219317
20220330,1189452,175229,135647,101927,127456,1258583,222970
20220331,1200261,139395,115205,99093,168488,1265842,222980
20220401,1202860,129024,99665,74711,230155,1258875,215974
20220404,1233137,123594,111686,56306,238246,1200369,247926
20220405,1258671,108778,110239,54497,148642,1280920,249517
20220406,1228716,120014,143202,60503,75390,1334329,249110
20220407,1219765,121306,88642,78358,114527,1339013,249653
20220408,1212103,125571,85885,64252,129937,1344087,249429
20220411,1304609,94257,145103,78217,79848,1301492,207738
20220412,1306202,85812,146301,62653,94615,1260811,254870
20220413,1285603,94631,128656,99972,90502,1297342,214558
20220419,1335159,122813,61771,54488,94064,1343428,199541
20220420,1339290,112109,56601,52145,101410,1351263,198446
20220421,1335757,106704,75184,49098,82904,1363756,197861
20220422,1325622,122475,63293,45017,85117,1369162,200578
20220425,1290017,114520,83401,42745,140820,1343934,195827
20220426,1256914,99427,85467,52719,157406,1365127,194204
20220427,1227366,106845,87189,65200,118533,1405086,201045
20220428,1215741,110541,103530,57688,98655,1423420,201689
20220429,1204961,119329,125054,64705,91931,1402824,202460
20220502,1170038,152637,87910,47563,73621,1535056,144439
20220503,1162147,151290,110474,57837,90376,1434873,204267
20220504,1158997,120129,119160,39267,107434,1463924,202353
20220505,1161799,118930,102561,55548,89624,1479127,203675
20220506,1176798,92732,112303,43301,111795,1470892,203443
20220509,1187024,96003,134419,88517,141947,1359445,203909
20220510,1188970,118837,132727,78633,96655,1397344,198098
20220511,1184466,113088,137979,75454,87689,1432919,179669
20220512,1227761,103419,130588,41236,112601,1458606,137053
20220513,1224992,88482,185798,65025,135599,1311021,200347
20220516,1220915,169605,100575,78406,113668,1329907,198188
20220518,1209084,166709,134810,92976,158446,1284597,164642
20220519,1202474,158649,192715,102147,163816,1216056,175407
20220520,1199535,164785,197890,108236,156677,1204248,179893
20220523,1264274,194722,121887,83628,187652,1175953,183148
20220524,1280879,180905,120010,108654,194732,1142822,183262
20220525,1298013,168484,184382,110058,153726,1112507,184094
20220527,1287467,229446,232930,147034,156254,976347,181786
20220530,1430557,170830,227549,134175,176743,886358,185052
20220531,1437729,173544,245678,104578,154160,910511,185064
20220601,1432587,198738,185677,117657,143704,956035,176866
20220602,1436973,200468,172373,128912,136552,960341,175645
20220603,1445936,239070,152130,115139,131126,952315,175548
20220607,1682826,215139,177763,50087,93416,847003,145030
20220608,1665308,231776,143685,62844,109135,856987,141529
20220609,1689707,253258,117388,62174,103010,844665,141062
20220610,1714946,242315,106324,59660,107704,841038,139277
20220613,1774789,183445,112640,63606,120495,821988,134301
20220614,1717675,249287,112263,63619,124363,809243,134814
20220615,1763162,215717,99731,58733,130611,807761,135549
20220616,1766601,215577,98996,68007,135757,792426,133900
20220617,1781494,204438,106065,80981,120581,783920,133785
20220620,1839679,155380,160277,70961,107650,743145,134172
20220621,1886156,154487,161628,60977,100363,711187,136466
20220622,1902630,200557,115428,83764,75331,702417,131137
20220623,1950694,185986,105640,68587,68558,702753,129046
20220624,2064009,171992,108103,55199,28122,686770,97069
20220627,2040849,200888,97449,26219,25470,691394,128995
20220628,2058098,177043,93069,37767,26879,693424,124984
20220629,2036727,194753,94572,36315,36701,687249,124947
20220630,2089984,143801,94395,38941,34306,685987,123850
20220701,2062698,181162,73105,46718,51845,688529,107207
20220704,2028757,223819,79843,51955,74198,664331,88361
20220705,2239680,118979,40844,41415,54654,644303,71389
20220706,2044682,255777,61185,39702,67563,653875,88480
20220707,2205448,113414,64143,39357,62037,638935,87930
20220708,2092610,185275,63546,50591,96044,653381,69817
20220711,2271438,113715,63022,32284,52996,652208,25601
20220712,2066667,222093,82506,55964,61124,638318,84592
20220713,2043742,272564,85986,49799,60172,614504,84497
20220714,2053987,297258,73524,45206,50755,608723,81811
20220715,2097235,275056,60256,45854,65424,585722,81717
20220718,2188794,282367,32044,31260,63733,561522,51544
20220719,2184375,272897,29127,21982,51741,570311,80831
20220720,2187471,255761,51187,32391,45101,560996,78357
20220721,2227265,254950,69205,23835,42466,550464,43079
20220722,2273083,204966,72178,30675,45420,544095,40847
20220725,2282854,219801,80736,36087,40395,513084,38307
20220726,2311382,187196,81053,42881,39709,511313,37730
20220727,2302551,197197,78480,49027,39670,506610,37729
20220728,2292540,243617,51841,27679,42987,515002,37598
20220729,2410468,114906,53647,31454,46272,516708,37809
20220801,2428851,141553,24498,26887,33966,549375,6134
20220802,2440295,131770,32540,24894,45373,530451,5941
20220803,2440295,141147,21595,34520,45967,521780,5960
20220804,2440295,147444,19122,40366,37140,521988,4909
20220805,2322757,260593,23548,35082,39753,515759,13772
20220808,2282305,279170,30770,25909,47720,516304,29086
20220809,2335914,223710,35370,36292,30734,520479,28765
20220810,2340674,225966,31783,29914,36058,523844,23025
20220811,2378539,190630,35069,31423,34996,517736,22871
20220812,2379154,206894,32512,26375,34710,508780,22839
20220815,2363634,202188,33639,42096,53530,500639,15538
20220816,2407943,165082,35066,37746,45105,519728,594
20220817,2405388,170684,34756,37873,41505,520415,643
20220818,2431075,171191,33448,32489,46653,495850,558
20220819,2461875,150948,53908,36348,33865,473741,579
20220822,2457337,127177,52953,46399,49848,460884,16666
20220823,2473629,104540,49049,51152,50907,465321,16666
20220824,2469806,92486,57361,58030,57760,459122,16699
20220825,2447410,105855,69879,62095,50245,460618,15162
20220826,2418676,102563,51313,62621,79049,470232,26810
20220829,2417169,127502,29466,44424,61219,505470,26014
20220830,2400769,121200,47652,54761,63613,496989,26280
20220831,2416462,135586,40797,51551,57745,497627,11496
20220901,2392310,157939,36467,39720,31985,527283,25560
20220902,2378104,181859,39725,31438,38795,515218,26125
20220905,2407360,116974,68422,54443,53251,492305,18509
20220906,2403741,87275,85771,52397,73943,478460,29677
20220907,2452389,66046,81299,55954,71940,483633,3
20220908,2449327,61546,90719,50233,74154,485271,14
20220909,2438036,69253,92744,51746,72265,487217,3
20220912,2375300,111067,59244,76948,53037,523679,11989
20220913,2341088,114053,58201,81389,88362,497039,31132
20220914,2344567,124972,70543,67907,82444,508777,12054
20220915,2397666,81938,70397,60033,77000,512250,11980
20220916,2389445,90828,64217,54543,71686,528562,11983
20220919,2375451,113324,59262,38629,59258,546316,19024
20220920,2401353,86878,57740,35264,49505,561498,19026
20220921,2405296,95816,40049,35374,54323,561371,19035
20220922,2400087,108094,41113,30928,69329,542689,19024
20220923,2398540,136356,36481,28651,75694,516503,19039
20220926,2517624,89430,63985,29177,28880,452088,30080
20220927,2557620,63028,64163,31154,24557,451759,18983
20220928,2497696,100383,51324,44356,32655,454292,30558
20220929,2506459,85669,42458,36815,66686,442578,30599
20220930,2481848,108047,45493,34270,44157,466717,30732
20221003,2479713,143817,30899,20441,30063,487173,19158
20221004,2485399,117440,37726,23126,48683,487224,11666
20221005,2462820,117686,54766,28385,40230,477426,29951
20221006,2467088,136943,54546,27366,39223,463586,22512
20221007,2525558,90251,53252,28963,43911,461950,7379
20221010,2456254,136168,34776,20977,42192,497581,23316
20221011,2491186,97954,29418,21157,54498,499373,17678
20221012,2503044,96956,37900,20379,35429,505637,11919
20221013,2529134,71415,32352,17809,27930,520756,11868
20221014,2504724,70632,34122,23676,32944,533257,11909
20221017,2422053,79374,34323,28928,48484,580034,18068
20221018,2418808,75709,32344,33851,58739,573923,17890
20221019,2415112,65930,35683,28817,54173,593350,18199
20221020,2410586,82180,46589,26933,50598,592528,1850
20221021,2349245,105042,46002,28362,42793,609711,30109
20221024,2349157,70134,63851,27406,37146,631975,31595
20221025,2335461,104922,49844,24593,25408,657512,13524
20221026,2365639,62144,43859,30775,35972,659351,13524
20221027,2375355,47511,47017,24116,35492,667631,14142
20221028,2335498,59458,36310,29265,49553,668298,32882
20221031,2349515,53281,56277,38807,81318,592839,39227
20221101,2330713,65492,63012,32088,68189,631255,20515
20221102,2270579,110574,45632,28011,55000,659767,41701
20221103,2284781,107472,44464,29876,54267,648487,41917
20221104,2274370,108367,36609,38664,54750,649671,48833
20221107,2267057,81836,46238,34892,72390,665662,43189
20221108,2254559,86959,46522,29086,67477,690530,36131
20221109,2206909,93885,46953,34116,68293,705884,55224
20221110,2246174,77043,49044,28877,54218,719640,36268
20221111,2252090,64801,51216,26503,50826,738503,27325
20221114,2079488,159227,54632,31275,84312,760037,42293
20221115,2072921,164746,46965,52562,74124,764613,35333
20221116,2066748,169610,46015,39490,83245,771616,34540
20221117,2160046,94081,49651,32880,74851,764591,35164
20221118,2099017,131758,50680,37667,76295,762446,53401
20221121,2046029,179713,40730,51577,67294,800322,25599
20221122,2067969,142296,64286,43393,63696,790803,38821
20221123,2087459,96464,64060,46986,51580,806596,58119
20221124,2002366,142255,56726,40693,80989,829253,58982
20221125,2028268,123632,80311,26158,70470,840330,42095
20221128,2057306,88033,52970,30669,88182,816724,77380
20221129,2091627,86304,80843,35156,55392,789167,72775
20221130,2105345,109091,80700,41466,66866,751651,56145
20221201,2101341,117029,76423,33685,64661,761548,56577
20221202,2068318,167692,72968,38484,63068,725015,75719
20221205,2008601,173332,81669,57557,74557,752947,62601
20221206,1948811,158454,86944,62176,105057,774760,75062
20221207,1961443,137005,99851,74616,75212,799121,64016
20221208,1936735,99595,111010,46010,141247,799530,77137
20221209,1872166,135838,78601,59821,147030,841377,76431
20221212,1826769,141605,119533,50361,127475,858849,86672
20221213,1799527,122569,156876,50648,142686,853268,85690
20221214,1775737,139751,145057,66774,150217,867232,66496
20221215,1732561,152762,99161,22620,125198,989107,89855
20221216,1765165,148847,103310,41474,67660,993552,91256
20221219,1706910,192486,98283,70732,64262,960972,117619
20221220,1649194,204010,88146,50239,67038,1029032,123605
20221221,1659520,192272,112081,59886,107607,950355,129543
20221222,1662387,163155,117044,70957,143519,921338,132864
20221223,1630286,146456,123262,62853,114497,1032411,101499
20221227,1546119,147723,145426,49117,158389,1038338,126152
20221228,1555062,164975,109768,61932,74271,1100537,144719
20221229,1592177,166390,122307,48661,81559,1085091,115079
20221230,1640026,171778,136545,44887,114519,956465,147044
